Allrounder_Rating,Matches_As_Bat_AllRounder,Innings_Bat_AllRounder,Runs_Scored_AllRounder,Batting_Average_AllRounder,Batting_Strike_Rate_AllRounder,Centuries_AllRounder,Double_Centuries_AllRounder,Fifties_AllRounder,Fours_AllRounder,Sixes_AllRounder,Innings_As_Bowl_Allrounder,Wickets_AllRounder,Economy_AllRounder,Bowling_Average_AllRounder,Bowling_Strike_Rate_AllRounder,FiveWickets_AllRounder,TenWickets_AllRounder
41,17,15,289,26.27,135.68,0,0,3,24,9,15,12,6.97,18.58,16,1,0
41,6,6,95,19,182.69,0,0,2,8,8,6,8,8,21,15.75,0,0
41,14,13,252,25.2,116.13,0,0,3,17,10,10,9,6.17,15.78,15.33,0,0
41,30,23,172,13.23,118.62,0,0,2,18,8,30,34,6.42,20.91,19.53,0,0
41,28,15,150,13.64,125,0,0,2,12,10,27,34,8.27,23.59,17.12,0,0
40,40,25,310,16.32,147.62,0,0,2,20,19,39,38,8.35,25.68,18.45,0,0
40,17,11,111,12.33,132.14,0,0,2,12,4,17,13,8.43,40.31,28.69,0,0
39,40,30,328,14.91,129.13,0,0,3,25,14,30,18,8.48,37.22,26.33,0,0
39,30,22,240,12,120.6,0,0,3,18,12,22,18,8.39,27.72,19.83,0,0
39,108,100,2773,32.24,138.79,4,0,23,247,127,9,1,9.97,113,68,0,0
38,15,9,108,18,113.68,0,0,2,11,3,15,14,8.7,31.07,21.43,0,0
38,42,18,123,13.67,123,0,0,2,10,3,41,49,8.24,24.18,17.61,0,0
38,32,30,893,35.72,126.31,0,0,7,94,16,9,6,9.93,23.17,14,0,0
37,21,15,138,12.55,122.12,0,0,2,9,9,21,30,8.07,18.7,13.9,0,0
36,15,15,331,22.07,109.97,0,0,4,30,5,9,5,7.11,25.6,21.6,0,0
36,76,37,268,13.4,121.27,0,0,2,17,7,72,76,7.11,21.37,18.03,0,0
35,57,56,1386,25.67,122.01,0,0,8,146,45,5,5,6.45,14.2,13.2,0,0
33,24,23,207,10.89,116.29,0,0,3,15,7,24,21,8.22,23.62,17.24,0,0
32,12,9,105,17.5,136.36,0,0,3,9,6,11,5,10.05,43.2,25.8,0,0
32,45,8,75,18.75,113.64,0,0,2,6,5,44,53,8.06,24.09,17.94,0,0
29,18,8,38,12.67,131.03,0,0,2,2,3,18,21,9.1,25.57,16.86,0,0
29,25,15,122,10.17,93.85,0,0,2,10,2,25,24,6.75,21.67,19.25,0,0
29,20,10,83,16.6,131.75,0,0,2,7,3,20,24,8.17,25.42,18.67,0,0
28,11,11,429,47.67,157.72,0,0,5,38,22,11,5,9.33,51,32.8,0,0
28,12,7,65,21.67,209.68,0,0,2,6,6,12,8,9.07,41.75,27.62,0,0
28,19,14,136,15.11,116.24,0,0,2,16,2,15,9,8.32,35.44,25.56,0,0
336,6,3,36,18,156.52,0,0,2,7,1,5,9,9.33,15.89,10.22,0,0
72,29,21,230,19.17,144.65,0,0,3,17,13,27,24,8.69,31.92,22.04,0,0
200,18,15,185,16.82,141.22,0,0,2,21,8,16,13,8.58,24.85,17.38,0,0
160,9,4,101,25.25,138.36,0,0,2,13,5,6,5,9.1,38.2,25.2,0,0
160,49,23,173,12.36,101.76,0,0,2,9,5,49,39,7.1,29.54,24.95,0,0
150,13,10,67,9.57,113.56,0,0,2,7,3,11,11,6.8,21.64,19.09,0,0
408,76,75,1567,23.74,123.87,0,0,11,165,33,75,92,6.81,20.58,18.12,1,0
150,14,13,183,20.33,105.78,0,0,2,12,5,12,5,7.38,32,26,0,0
100,63,55,977,20.79,114.94,0,0,4,76,33,37,25,6.71,26.84,24,1,0
