Allrounder_Rating,Innings_Bat_AllRounder,Runs_Scored_AllRounder,Batting_Average_AllRounder,Batting_Strike_Rate_AllRounder,Fifties_AllRounder,Fours_AllRounder,Sixes_AllRounder,Innings_As_Bowl_Allrounder,Wickets_AllRounder,Economy_AllRounder,Bowling_Average_AllRounder,Bowling_Strike_Rate_AllRounder
32,9,105,17.5,136.36,3,9,6,11,5,10.05,43.2,25.8
32,8,75,18.75,113.64,2,6,5,44,53,8.06,24.09,17.94
29,8,38,12.67,131.03,2,2,3,18,21,9.1,25.57,16.86
29,15,122,10.17,93.85,2,10,2,25,24,6.75,21.67,19.25
29,10,83,16.6,131.75,2,7,3,20,24,8.17,25.42,18.67
28,11,429,47.67,157.72,5,38,22,11,5,9.33,51.0,32.8
28,7,65,21.67,209.68,2,6,6,12,8,9.07,41.75,27.62
28,14,136,15.11,116.24,2,16,2,15,9,8.32,35.44,25.56
336,3,36,18.0,156.52,2,7,1,5,9,9.33,15.89,10.22
72,21,230,19.17,144.65,3,17,13,27,24,8.69,31.92,22.04
200,15,185,16.82,141.22,2,21,8,16,13,8.58,24.85,17.38
160,4,101,25.25,138.36,2,13,5,6,5,9.1,38.2,25.2
160,23,173,12.36,101.76,2,9,5,49,39,7.1,29.54,24.95
150,10,67,9.57,113.56,2,7,3,11,11,6.8,21.64,19.09
408,75,1567,23.74,123.87,11,165,33,75,92,6.81,20.58,18.12
150,13,183,20.33,105.78,2,12,5,12,5,7.38,32.0,26.0
100,55,977,20.79,114.94,4,76,33,37,25,6.71,26.84,24.0
