KX1P, Chris Gayle ,batsmen,125,124,4484,41.14,151.03,6,0,30,369,328,,,,,,,,F
KKR, Eoin Morgan ,batsmen,52,45,854,21.35,121.13,0,0,6,72,36,,,,,,,,F
KKR, Nikhil Naik ,batsmen,3,3,30,10,63.83,0,0,2,2,2,,,,,,,,I
KKR, Siddhesh Lad ,batsmen,1,1,15,15,115.38,0,0,2,1,3,,,,,,,,I
KKR, Rinku Singh ,batsmen,9,7,66,11,101.54,0,0,2,5,4,,,,,,,,I
KKR, Rahul Tripathi ,batsmen,34,33,758,26.14,137.32,0,0,6,74,29,,,,,,,,I
MI, Rohit Sharma (Captain) ,batsmen,188,183,4898,31.6,130.82,1,0,38,431,196,,,,,,,,I
MI, Saurabh Tiwary ,batsmen,81,65,1276,28.36,119.59,0,0,9,93,47,,,,,,,,I
MI, Chris Lynn ,batsmen,41,41,1280,33.68,140.66,0,0,12,128,65,,,,,,,,F
MI, Suryakumar Yadav ,batsmen,85,71,1544,28.07,131.63,0,0,9,160,49,,,,,,,,I
RR, Steven Smith (Captain) ,batsmen,81,72,2022,37.44,128.95,1,0,10,180,51,,,,,,,,F
RR, Riyan Parag ,batsmen,7,5,160,32,126.98,0,0,3,17,7,,,,,,,,I
RR, David Miller ,batsmen,79,77,1850,34.26,138.78,1,0,11,126,89,,,,,,,,F
RR, Manan Vohra ,batsmen,49,45,1012,23.53,131.77,0,0,5,97,41,,,,,,,,I
RCB, Virat Kohli (Captain) ,batsmen,177,169,5412,37.85,131.61,5,0,38,480,192,,,,,,,,I
RCB, Aaron Finch ,batsmen,75,73,1737,25.93,130.7,0,0,15,176,69,,,,,,,,F
RCB, Gurkeerat Singh Mann ,batsmen,33,27,440,18.33,128.65,0,0,4,47,13,,,,,,,,I
SRH, Kane Williamson ,batsmen,41,41,1302,38.29,135.06,0,0,14,110,46,,,,,,,,F
SRH, David Warner (Captain) ,batsmen,126,126,4706,43.17,142.39,4,0,46,459,182,,,,,,,,F
SRH, Manish Pandey ,batsmen,130,120,2843,29.31,120.82,1,0,17,252,77,,,,,,,,I
CSK, Shardul Thakur ,bowler,36,35,36,9.04,29.58,19.64,0,0,,,,,,,,,,I
CSK, Harbhajan Singh ,bowler,160,157,150,7.05,26.45,22.49,1,0,,,,,,,,,,I
CSK, Deepak Chahar ,bowler,34,34,33,7.63,26.52,20.85,0,0,,,,,,,,,,I
CSK, KM Asif ,bowler,2,2,3,12.5,25,12,0,0,,,,,,,,,,I
CSK, Imran Tahir ,bowler,55,55,79,7.88,20.39,15.52,0,0,,,,,,,,,,F
CSK, Karn Sharma ,bowler,63,61,54,7.82,26.76,20.52,0,0,,,,,,,,,,I
CSK, Lungi Ngidi ,bowler,7,7,11,6,14.18,14.18,0,0,,,,,,,,,,F
DC, Kagiso Rabada ,bowler,18,18,31,8.14,17.94,13.23,0,0,,,,,,,,,,F
DC, Sandeep Lamichhane ,bowler,9,9,13,8.34,22.46,16.15,0,0,,,,,,,,,,I
DC, Ishant Sharma ,bowler,89,89,71,8.11,36.31,26.86,1,0,,,,,,,,,,I
DC, Mohit Sharma ,bowler,85,85,91,8.41,26.65,19.01,0,0,,,,,,,,,,I
DC, Avesh Khan ,bowler,8,8,5,9.88,51.4,31.2,0,0,,,,,,,,,,I
DC, Harshal Patel ,bowler,43,41,43,8.72,28.26,19.44,0,0,,,,,,,,,,I
DC, Amit Mishra ,bowler,147,147,157,7.34,24.17,19.75,1,0,,,,,,,,,,I
KX1P, Chris Jordan ,bowler,11,11,12,9.03,24.83,16.5,0,0,,,,,,,,,,F
KX1P, Arshdeep Singh ,bowler,3,3,3,10.9,36.33,20,0,0,,,,,,,,,,I
KX1P, Mujeeb Ur Rahman ,bowler,16,16,17,7.96,28.24,21.29,0,0,,,,,,,,,,F
KX1P, Mohammed Shami ,bowler,49,49,40,8.99,38.67,25.8,0,0,,,,,,,,,,I
KX1P, Murugan Ashwin ,bowler,22,22,15,7.9,36.6,27.8,0,0,,,,,,,,,,I
KX1P, Jagadeesha Suchith ,bowler,15,14,12,8.8,33,22.5,0,0,,,,,,,,,,I
KX1P, Hardus Viljoen ,bowler,6,6,7,9.65,31.71,19.71,0,0,,,,,,,,,,F
KKR, Sandeep Warrier ,bowler,3,3,2,7.08,42.5,36,0,0,,,,,,,,,,I
KKR, Kuldeep Yadav ,bowler,40,39,39,8.33,29.33,21.13,0,0,,,,,,,,,,I
KKR, Pat Cummins ,bowler,16,16,17,8.29,29.35,21.24,0,0,,,,,,,,,,F
KKR, Harry Gurney ,bowler,8,8,7,8.81,34,23.14,0,0,,,,,,,,,,F
KKR, Sunil Narine ,bowler,110,109,122,6.68,23.32,20.96,1,0,,,,,,,,,,F
KKR, Lockie Ferguson ,bowler,9,9,5,9.2,55.2,36,0,0,,,,,,,,,,F
KKR, Prasidh Krishna ,bowler,18,18,14,9.32,45.5,29.29,0,0,,,,,,,,,,I
KKR, Varun Chakravarthy ,bowler,1,1,1,11.67,35,18,0,0,,,,,,,,,,I
MI, Jasprit Bumrah ,bowler,77,77,82,7.56,26.62,21.12,0,0,,,,,,,,,,I
MI, Lasith Malinga ,bowler,122,122,170,7.14,19.79,16.63,1,0,,,,,,,,,,F
MI, Rahul Chahar ,bowler,16,15,15,6.78,24.4,21.6,0,0,,,,,,,,,,I
MI, Mitchell McClenaghan ,bowler,56,56,71,8.49,25.39,17.94,0,0,,,,,,,,,,F
MI, Dhawal Kulkarni ,bowler,90,90,86,8.27,27.95,20.29,0,0,,,,,,,,,,I
MI, Trent Boult ,bowler,33,33,38,8.78,29.47,20.13,0,0,,,,,,,,,,F
MI, Jayant Yadav ,bowler,12,12,5,6.65,49.2,44.4,0,0,,,,,,,,,,I
MI, Nathan Coulter-Nile ,bowler,26,25,36,7.66,19.97,15.64,0,0,,,,,,,,,,F
RR, Andrew Tye ,bowler,26,26,39,8.3,21.08,15.23,1,0,,,,,,,,,,I
RR, Ankit Rajpoot ,bowler,23,23,22,8.64,27.95,19.41,1,0,,,,,,,,,,I
RR, Rahul Tewatia ,bowler,20,18,14,7.18,25.29,21.14,0,0,,,,,,,,,,I
RR, Jaydev Unadkat ,bowler,73,72,77,8.73,28.47,19.56,2,0,,,,,,,,,,I
RR, Mayank Markande ,bowler,17,17,16,8.54,26.69,18.75,0,0,,,,,,,,,,I
RR, Oshane Thomas ,bowler,4,4,5,7.9,15.8,12,0,0,,,,,,,,,,F
RR, Varun Aaron ,bowler,47,45,42,8.74,31.79,21.81,0,0,,,,,,,,,,I
RCB, Mohammed Siraj ,bowler,26,26,28,9.2,30.29,19.75,0,0,,,,,,,,,,I
RCB, Yuzvendra Chahal ,bowler,84,83,100,7.78,23.18,17.87,0,0,,,,,,,,,,I
RCB, Navdeep Saini ,bowler,13,13,11,8.27,36.09,26.18,0,0,,,,,,,,,,I
RCB, Dale Steyn ,bowler,92,92,96,6.77,24.74,21.94,0,0,,,,,,,,,,F
RCB, Umesh Yadav ,bowler,119,118,119,8.46,29.38,20.84,0,0,,,,,,,,,,I
RCB, Kane Richardson ,bowler,14,14,18,8.38,24.61,17.61,0,0,,,,,,,,,,F
